AVAPS-T07 STA 234020777 240813 174401.27
AVAPS-T07 COM            UTC     UTC       Air    Air     Rel   Wind   Wind   Vert      GPS        GPS     Geopoten GPS  Sonde  Sonde GPS Wind    GPS   
AVAPS-T07 COM   Sonde    Date    Time     Press   Temp   Humid  Dir    Spd    Veloc  Longitude   Latitude  Altitude Wnd   RH1    RH2  Snd Error Altitude
AVAPS-T07 COM    ID     yymmdd hhmmss.ss   (mb)  (degC)   (%)   (deg)  (m/s)  (m/s)    (deg)       (deg)      (m)   Sat   (%)    (%)  Sat (m/s)    (m)  
AVAPS-T07 COM --------- ------ --------- ------- ------ ------ ------ ------ ------ ----------- ---------- -------- --- ------ ------ --- ----- --------
AVAPS-D07 P00 234020777 240813 174432.00  856.08  20.40  12.86 178.78 223.04   0.51  -22.102184   6.026472 99999.00  10  12.86 999.00  10  0.13 13861.89
AVAPS-D07 P10 234020777 240813 174432.25 9999.00  99.00 999.00 178.76 223.07   0.56  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.13 99999.00
AVAPS-D07 P00 234020777 240813 174432.50  856.13  20.41  12.86 178.72 223.08   0.60  -22.102206   6.027478 99999.00  10  12.86 999.00  10  0.13 13862.12
AVAPS-D07 P10 234020777 240813 174432.75 9999.00  99.00 999.00 178.70 223.10   0.55  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.13 99999.00
AVAPS-D07 P00 234020777 240813 174433.00  856.04  20.41  12.84 178.67 223.09   0.53  -22.102229   6.028484 99999.00  10  12.84 999.00  10  0.13 13862.38
AVAPS-D07 P10 234020777 240813 174433.25 9999.00  99.00 999.00 178.64 223.11   0.55  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.13 99999.00
AVAPS-D07 P00 234020777 240813 174433.50  856.04  20.41  12.85 178.62 223.13   0.52  -22.102253   6.029490 99999.00  10  12.85 999.00  10  0.13 13862.62
AVAPS-D07 P10 234020777 240813 174433.75 9999.00  99.00 999.00 178.60 223.10   0.45  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.13 99999.00
AVAPS-D07 P00 234020777 240813 174434.00  856.09  20.41  12.83 178.58 223.11   0.42  -22.102277   6.030496 99999.00  10  12.83 999.00  10  0.13 13862.83
AVAPS-D07 P10 234020777 240813 174434.25 9999.00  99.00 999.00 178.55 223.14   0.42  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.13 99999.00
AVAPS-D07 P00 234020777 240813 174434.50  855.96  20.41  12.87 178.52 223.15   0.31  -22.102303   6.031503 99999.00  10  12.87 999.00  10  0.13 13863.05
AVAPS-D07 P10 234020777 240813 174434.75 9999.00  99.00 999.00 178.49 223.14   0.24  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.12 99999.00
AVAPS-D07 P00 234020777 240813 174435.00  856.03  20.41  12.82 178.47 223.14   0.20  -22.102329   6.032509 99999.00  10  12.82 999.00  10  0.12 13863.21
AVAPS-D07 P10 234020777 240813 174435.25 9999.00  99.00 999.00 178.45 223.17   0.25  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.12 99999.00
AVAPS-D07 P00 234020777 240813 174435.50  855.87  20.41  12.85 178.42 223.19   0.29  -22.102357   6.033515 99999.00  10  12.85 999.00  10  0.12 13863.35
AVAPS-D07 P10 234020777 240813 174435.75 9999.00  99.00 999.00 178.40 223.20   0.28  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.12 99999.00
