AVAPS-T04 STA 234030497 240813 172632.54
AVAPS-T04 COM            UTC     UTC       Air    Air     Rel   Wind   Wind   Vert      GPS        GPS     Geopoten GPS  Sonde  Sonde GPS Wind    GPS
AVAPS-T04 COM   Sonde    Date    Time     Press   Temp   Humid  Dir    Spd    Veloc  Longitude   Latitude  Altitude Wnd   RH1    RH2  Snd Error Altitude
AVAPS-T04 COM    ID     yymmdd hhmmss.ss   (mb)  (degC)   (%)   (deg)  (m/s)  (m/s)    (deg)       (deg)      (m)   Sat   (%)    (%)  Sat (m/s)    (m)
AVAPS-T04 COM --------- ------ --------- ------- ------ ------ ------ ------ ------ ----------- ---------- -------- --- ------ ------ --- ----- --------
AVAPS-D04 P10 234030497 240813 172707.00 9999.00  99.00 999.00 270.44 194.84  -0.01  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.16 99999.00
AVAPS-D04 P00 234030497 240813 172707.25  855.98  21.22  11.35 270.41 194.87   0.05  -23.316234   4.800509 99999.00  10  11.35 999.00  10  0.16 13872.96
AVAPS-D04 P10 234030497 240813 172707.50 9999.00  99.00 999.00 270.39 194.86   0.12  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.16 99999.00
AVAPS-D04 P00 234030497 240813 172707.75  856.09  21.23  11.32 270.37 194.85   0.08  -23.315358   4.800503 99999.00  10  11.32 999.00  10  0.16 13873.02
AVAPS-D04 P10 234030497 240813 172708.00 9999.00  99.00 999.00 270.36 194.84   0.10  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.16 99999.00
AVAPS-D04 P00 234030497 240813 172708.25  856.08  21.23  11.33 270.33 194.85   0.21  -23.314481   4.800498 99999.00  10  11.33 999.00  10  0.16 13873.12
AVAPS-D04 P10 234030497 240813 172708.50 9999.00  99.00 999.00 270.32 194.85   0.06  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.16 99999.00
AVAPS-D04 P00 234030497 240813 172708.75  856.00  21.23  11.35 270.27 194.86   0.51  -23.313605   4.800493 99999.00  10  11.35 999.00  10  0.16 13873.23
AVAPS-D04 P10 234030497 240813 172709.00 9999.00  99.00 999.00 270.27 194.84   0.32  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.16 99999.00
AVAPS-D04 P00 234030497 240813 172709.25  856.05  21.23  11.33 270.25 194.83   0.21  -23.312729   4.800489 99999.00  10  11.33 999.00  10  0.16 13873.44
AVAPS-D04 P10 234030497 240813 172709.50 9999.00  99.00 999.00 270.23 194.82   0.29  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.16 99999.00
AVAPS-D04 P00 234030497 240813 172709.75  856.01  21.23  11.35 270.22 194.82   0.40  -23.311852   4.800486 99999.00  10  11.35 999.00  10  0.16 13873.65
AVAPS-D04 P10 234030497 240813 172710.00 9999.00  99.00 999.00 270.19 194.82   0.47  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.16 99999.00
AVAPS-D04 P00 234030497 240813 172710.25  855.90  21.23  11.32 270.17 194.81   0.50  -23.310976   4.800483 99999.00  10  11.32 999.00  10  0.16 13873.84
AVAPS-D04 P10 234030497 240813 172710.50 9999.00  99.00 999.00 270.16 194.82   0.48  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.16 99999.00
AVAPS-D04 P00 234030497 240813 172710.75  855.99  21.23  11.35 270.14 194.82   0.46  -23.310100   4.800480 99999.00  10  11.35 999.00  10  0.16 13874.07
AVAPS-D04 P10 234030497 240813 172711.00 9999.00  99.00 999.00 270.12 194.79   0.49  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.16 99999.00
AVAPS-D04 P00 234030497 240813 172711.25  855.99  21.23  11.35 270.10 194.78   0.56  -23.309224   4.800478 99999.00  10  11.35 999.00  10  0.16 13874.30
AVAPS-D04 P10 234030497 240813 172711.50 9999.00  99.00 999.00 270.08 194.77   0.62  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.16 99999.00
AVAPS-D04 P00 234030497 240813 172711.75  855.99  21.23  11.35 270.07 194.78   0.60  -23.308348   4.800477 99999.00  10  11.35 999.00  10  0.16 13874.60
AVAPS-D04 P10 234030497 240813 172712.00 9999.00  99.00 999.00 270.04 194.75   0.58  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.16 99999.00
AVAPS-D04 P00 234030497 240813 172712.25  856.05  21.23  11.33 270.02 194.77   0.57  -23.307472   4.800476 99999.00  10  11.33 999.00  10  0.16 13874.86
AVAPS-D04 P10 234030497 240813 172712.50 9999.00  99.00 999.00 270.00 194.77   0.55  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.16 99999.00
AVAPS-D04 P00 234030497 240813 172712.75  855.89  21.23  11.36 269.98 194.76   0.58  -23.306596   4.800476 99999.00  10  11.36 999.00  10  0.16 13875.10
AVAPS-D04 P10 234030497 240813 172713.00 9999.00  99.00 999.00 269.96 194.74   0.49  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.16 99999.00
AVAPS-D04 P00 234030497 240813 172713.25  856.09  21.23  11.33 269.94 194.75   0.49  -23.305720   4.800477 99999.00  10  11.33 999.00  10  0.16 13875.32
AVAPS-D04 P10 234030497 240813 172713.50 9999.00  99.00 999.00 269.93 194.75   0.50  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.16 99999.00
AVAPS-D04 P00 234030497 240813 172713.75  856.01  21.23  11.33 269.91 194.75   0.42  -23.304844   4.800478 99999.00  10  11.33 999.00  10  0.16 13875.54
AVAPS-D04 P10 234030497 240813 172714.00 9999.00  99.00 999.00 269.89 194.75   0.46  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.16 99999.00
AVAPS-D04 P00 234030497 240813 172714.25  855.94  21.23  11.33 269.87 194.71   0.40  -23.303968   4.800480 99999.00  10  11.33 999.00  10  0.16 13875.72
AVAPS-D04 P10 234030497 240813 172714.50 9999.00  99.00 999.00 269.86 194.71   0.27  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.16 99999.00
AVAPS-D04 P00 234030497 240813 172714.75  856.01  21.24  11.35 269.83 194.73   0.24  -23.303092   4.800482 99999.00  10  11.35 999.00  10  0.16 13875.87
AVAPS-D04 P10 234030497 240813 172715.00 9999.00  99.00 999.00 269.81 194.72   0.23  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.16 99999.00
AVAPS-D04 P00 234030497 240813 172715.25  856.00  21.23  11.33 269.79 194.72   0.12  -23.302217   4.800485 99999.00  10  11.33 999.00  10  0.16 13875.98
AVAPS-D04 P10 234030497 240813 172715.50 9999.00  99.00 999.00 269.76 194.72   0.24  999.000000  99.000000 99999.00  10 999.00 999.00  10  0.16 99999.00
